<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
1/29/2026,17:15:00,7041.25,7044.25,7023.50,7024.00,9681
1/29/2026,17:30:00,7023.75,7038.00,7017.25,7031.25,10849
1/29/2026,17:45:00,7030.75,7044.75,7030.75,7042.50,6671
1/29/2026,18:00:00,7042.75,7043.75,7035.00,7036.50,3460
1/29/2026,18:15:00,7036.50,7039.75,7031.00,7034.00,3760
1/29/2026,18:30:00,7034.00,7037.00,7024.50,7028.25,7014
1/29/2026,18:45:00,7028.50,7040.75,7025.50,7026.25,6907
1/29/2026,19:00:00,7026.25,7030.50,7024.25,7026.50,2386
1/29/2026,19:15:00,7027.00,7027.50,7019.50,7020.75,4081
1/29/2026,19:30:00,7020.75,7022.00,7016.25,7017.50,3412
1/29/2026,19:45:00,7017.75,7018.25,7002.00,7007.00,7103
1/29/2026,20:00:00,7007.00,7014.75,7004.00,7012.75,5415
1/29/2026,20:15:00,7012.75,7014.00,7005.50,7006.75,4871
1/29/2026,20:30:00,7007.00,7010.50,6995.00,6995.25,8731
1/29/2026,20:45:00,6995.25,7002.75,6993.00,6999.75,5133
1/29/2026,21:00:00,6999.75,7011.25,6999.00,7010.75,4511
1/29/2026,21:15:00,7010.75,7020.50,7010.50,7015.50,5704
1/29/2026,21:30:00,7015.50,7018.50,7010.75,7014.75,4033
1/29/2026,21:45:00,7014.75,7021.50,7013.75,7016.75,3313
1/29/2026,22:00:00,7017.00,7021.75,7015.50,7015.75,2472
1/29/2026,22:15:00,7015.75,7021.75,7015.00,7021.50,1691
1/29/2026,22:30:00,7021.75,7023.25,7016.50,7020.00,2088
1/29/2026,22:45:00,7020.00,7023.25,7019.25,7020.00,1391
1/29/2026,23:00:00,7020.00,7021.00,7014.00,7015.25,1690
1/29/2026,23:15:00,7015.50,7020.00,7013.75,7015.50,1797
1/29/2026,23:30:00,7015.25,7016.50,7012.25,7015.00,1874
1/29/2026,23:45:00,7014.50,7015.00,7009.25,7009.75,1908
1/30/2026,00:00:00,7009.50,7012.50,7006.25,7006.50,1903
1/30/2026,00:15:00,7006.75,7007.75,7000.00,7002.25,2557
1/30/2026,00:30:00,7002.25,7002.75,6990.00,6995.75,4070
1/30/2026,00:45:00,6995.50,7001.25,6993.25,6997.00,2953
1/30/2026,01:00:00,6996.75,6998.75,6984.75,6987.75,5936
1/30/2026,01:15:00,6987.25,6999.50,6986.25,6996.00,3675
1/30/2026,01:30:00,6996.25,6996.50,6988.75,6990.25,2916
1/30/2026,01:45:00,6990.00,6993.50,6981.00,6986.50,4189
